Gene	In_ML	In_DE	In_MUT	In_STRING	Support_Count
ARSG	TRUE	TRUE	FALSE	FALSE	2
STOX2	TRUE	TRUE	FALSE	FALSE	2
ERBB4	TRUE	TRUE	FALSE	FALSE	2
B3GNT5	TRUE	TRUE	FALSE	FALSE	2
PRTFDC1	TRUE	TRUE	FALSE	FALSE	2
SPTBN4	TRUE	TRUE	FALSE	FALSE	2
TGM5	TRUE	TRUE	FALSE	FALSE	2
SCEL	TRUE	TRUE	FALSE	FALSE	2
CORO6	TRUE	TRUE	FALSE	FALSE	2
FLJ46111	TRUE	TRUE	FALSE	FALSE	2
GPR110	TRUE	TRUE	FALSE	FALSE	2
ABCC11	TRUE	TRUE	FALSE	FALSE	2
GABRP	TRUE	TRUE	FALSE	FALSE	2
MGC2889	TRUE	TRUE	FALSE	FALSE	2
SCGB2A2	TRUE	TRUE	FALSE	FALSE	2
SLC44A4	TRUE	TRUE	FALSE	FALSE	2
UGT8	TRUE	TRUE	FALSE	FALSE	2
ACBD7	TRUE	TRUE	FALSE	FALSE	2
SCUBE2	TRUE	TRUE	FALSE	FALSE	2
VAX1	TRUE	TRUE	FALSE	FALSE	2
SSPO	TRUE	TRUE	FALSE	FALSE	2
BCL11A	TRUE	TRUE	FALSE	FALSE	2
ELF5	TRUE	TRUE	FALSE	FALSE	2
ANXA9	TRUE	TRUE	FALSE	FALSE	2
SERPINA11	TRUE	TRUE	FALSE	FALSE	2
DOC2A	TRUE	TRUE	FALSE	FALSE	2
FLJ45983	TRUE	TRUE	FALSE	FALSE	2
PRKX	TRUE	TRUE	FALSE	FALSE	2
L3MBTL4	TRUE	TRUE	FALSE	FALSE	2
ROPN1	TRUE	TRUE	FALSE	FALSE	2
TMEM178	TRUE	TRUE	FALSE	FALSE	2
SLC6A14	TRUE	TRUE	FALSE	FALSE	2
SPDEF	TRUE	TRUE	FALSE	FALSE	2
CDCA2	TRUE	TRUE	FALSE	FALSE	2
FABP7	TRUE	TRUE	FALSE	FALSE	2
CHRD	TRUE	TRUE	FALSE	FALSE	2
GABBR2	TRUE	TRUE	FALSE	FALSE	2
SCGB1D2	TRUE	TRUE	FALSE	FALSE	2
PGR	TRUE	TRUE	FALSE	FALSE	2
KRT16	TRUE	TRUE	FALSE	FALSE	2
ANKRD30B	TRUE	TRUE	FALSE	FALSE	2
GFRA1	TRUE	TRUE	FALSE	FALSE	2
PRAME	TRUE	TRUE	FALSE	FALSE	2
CPB1	TRUE	TRUE	FALSE	FALSE	2
CACNA2D2	TRUE	TRUE	FALSE	FALSE	2
CMBL	TRUE	TRUE	FALSE	FALSE	2
SYBU	TRUE	TRUE	FALSE	FALSE	2
STAC	TRUE	TRUE	FALSE	FALSE	2
TSPAN1	TRUE	TRUE	FALSE	FALSE	2
SYT9	TRUE	TRUE	FALSE	FALSE	2
PIP	TRUE	TRUE	FALSE	FALSE	2
DACH1	TRUE	TRUE	FALSE	FALSE	2
THSD4	TRUE	TRUE	FALSE	FALSE	2
KLK6	TRUE	TRUE	FALSE	FALSE	2
AMY1A	TRUE	TRUE	FALSE	FALSE	2
CA9	TRUE	TRUE	FALSE	FALSE	2
KCNJ3	TRUE	TRUE	FALSE	FALSE	2
PLCH1	TRUE	TRUE	FALSE	FALSE	2
HMGCS2	TRUE	TRUE	FALSE	FALSE	2
MSLN	TRUE	TRUE	FALSE	FALSE	2
F7	TRUE	TRUE	FALSE	FALSE	2
CYP4B1	TRUE	TRUE	FALSE	FALSE	2
CAPN8	TRUE	TRUE	FALSE	FALSE	2
HAPLN3	TRUE	TRUE	FALSE	FALSE	2
MAPT	TRUE	TRUE	FALSE	FALSE	2
ZIC1	TRUE	TRUE	FALSE	FALSE	2
FZD9	TRUE	TRUE	FALSE	FALSE	2
SYTL5	TRUE	TRUE	FALSE	FALSE	2
LOC157381	TRUE	TRUE	FALSE	FALSE	2
AKR7A3	TRUE	TRUE	FALSE	FALSE	2
AR	TRUE	TRUE	FALSE	FALSE	2
GRPR	TRUE	TRUE	FALSE	FALSE	2
CYP4Z2P	TRUE	TRUE	FALSE	FALSE	2
EEF1A2	TRUE	TRUE	FALSE	FALSE	2
PROM1	TRUE	TRUE	FALSE	FALSE	2
SFRS13B	TRUE	TRUE	FALSE	FALSE	2
MDGA2	TRUE	TRUE	FALSE	FALSE	2
DEGS2	TRUE	TRUE	FALSE	FALSE	2
CHAD	TRUE	TRUE	FALSE	FALSE	2
FAM171A1	TRUE	TRUE	FALSE	FALSE	2
PTPRT	TRUE	TRUE	FALSE	FALSE	2
SOX10	TRUE	TRUE	FALSE	FALSE	2
RGS22	TRUE	TRUE	FALSE	FALSE	2
IL12RB2	TRUE	TRUE	FALSE	FALSE	2
SLC7A2	TRUE	TRUE	FALSE	FALSE	2
ROPN1B	TRUE	TRUE	FALSE	FALSE	2
DHRS2	TRUE	TRUE	FALSE	FALSE	2
C10orf116	TRUE	TRUE	FALSE	FALSE	2
HPX	TRUE	TRUE	FALSE	FALSE	2
ADAMTS15	TRUE	TRUE	FALSE	FALSE	2
IGFALS	TRUE	TRUE	FALSE	FALSE	2
AFF3	TRUE	TRUE	FALSE	FALSE	2
CLSTN2	TRUE	TRUE	FALSE	FALSE	2
ZNF703	TRUE	TRUE	FALSE	FALSE	2
ULBP3	TRUE	TRUE	FALSE	FALSE	2
C20orf114	TRUE	TRUE	FALSE	FALSE	2
CEACAM5	TRUE	TRUE	FALSE	FALSE	2
NCAN	TRUE	TRUE	FALSE	FALSE	2
SLC34A2	TRUE	TRUE	FALSE	FALSE	2
TUBB3	TRUE	TRUE	FALSE	FALSE	2
POU4F1	TRUE	TRUE	FALSE	FALSE	2
CHODL	TRUE	TRUE	FALSE	FALSE	2
SLC15A1	TRUE	TRUE	FALSE	FALSE	2
WNK4	TRUE	TRUE	FALSE	FALSE	2
C4orf7	TRUE	TRUE	FALSE	FALSE	2
CXorf49B	TRUE	TRUE	FALSE	FALSE	2
CENPA	TRUE	TRUE	FALSE	FALSE	2
NAT1	TRUE	TRUE	FALSE	FALSE	2
KIAA1804	TRUE	TRUE	FALSE	FALSE	2
TCEAL1	TRUE	TRUE	FALSE	FALSE	2
LEMD1	TRUE	TRUE	FALSE	FALSE	2
CRIP1	TRUE	TRUE	FALSE	FALSE	2
PGLYRP2	TRUE	TRUE	FALSE	FALSE	2
TMPRSS6	TRUE	TRUE	FALSE	FALSE	2
SFRP1	TRUE	TRUE	FALSE	FALSE	2
NEK10	TRUE	TRUE	FALSE	FALSE	2
KLHDC7A	TRUE	TRUE	FALSE	FALSE	2
C10orf82	TRUE	TRUE	FALSE	FALSE	2
KIF1A	TRUE	TRUE	FALSE	FALSE	2
INPP5J	TRUE	TRUE	FALSE	FALSE	2
NUDT12	TRUE	TRUE	FALSE	FALSE	2
PDZK1	TRUE	TRUE	FALSE	FALSE	2
KRT6B	TRUE	TRUE	FALSE	FALSE	2
GJB3	TRUE	TRUE	FALSE	FALSE	2
PRSS33	TRUE	TRUE	FALSE	FALSE	2
CYP4Z1	TRUE	TRUE	FALSE	FALSE	2
PI3	TRUE	TRUE	FALSE	FALSE	2
LY6D	TRUE	TRUE	FALSE	FALSE	2
DSG1	TRUE	TRUE	FALSE	FALSE	2
CCNE1	TRUE	TRUE	FALSE	FALSE	2
IL22RA2	TRUE	TRUE	FALSE	FALSE	2
MMP12	TRUE	TRUE	FALSE	FALSE	2
MAPK4	TRUE	TRUE	FALSE	FALSE	2
SIDT1	TRUE	TRUE	FALSE	FALSE	2
TPRG1	TRUE	TRUE	FALSE	FALSE	2
SLC16A6	TRUE	TRUE	FALSE	FALSE	2
SCRG1	TRUE	TRUE	FALSE	FALSE	2
P4HTM	TRUE	TRUE	FALSE	FALSE	2
CTSL2	TRUE	TRUE	FALSE	FALSE	2
MMP7	TRUE	TRUE	FALSE	FALSE	2
RIMS4	TRUE	TRUE	FALSE	FALSE	2
S100A9	TRUE	TRUE	FALSE	FALSE	2
ABCA13	TRUE	TRUE	FALSE	FALSE	2
MIA	TRUE	TRUE	FALSE	FALSE	2
UBASH3B	TRUE	TRUE	FALSE	FALSE	2
CST9	TRUE	TRUE	FALSE	FALSE	2
S100A8	TRUE	TRUE	FALSE	FALSE	2
SLC6A11	TRUE	TRUE	FALSE	FALSE	2
LPO	TRUE	TRUE	FALSE	FALSE	2
TMC5	TRUE	TRUE	FALSE	FALSE	2
KCNK5	TRUE	TRUE	FALSE	FALSE	2
GRIK3	TRUE	TRUE	FALSE	FALSE	2
TCAM1P	TRUE	TRUE	FALSE	FALSE	2
REEP6	TRUE	TRUE	FALSE	FALSE	2
SOX11	TRUE	TRUE	FALSE	FALSE	2
SLC15A2	TRUE	TRUE	FALSE	FALSE	2
KRT6A	TRUE	TRUE	FALSE	FALSE	2
GFRA3	TRUE	TRUE	FALSE	FALSE	2
CRABP1	TRUE	TRUE	FALSE	FALSE	2
SLC30A8	TRUE	TRUE	FALSE	FALSE	2
JAKMIP3	TRUE	TRUE	FALSE	FALSE	2
KCNF1	TRUE	TRUE	FALSE	FALSE	2
PTCHD1	TRUE	TRUE	FALSE	FALSE	2
MUC16	TRUE	TRUE	FALSE	FALSE	2
CDCA7	TRUE	TRUE	FALSE	FALSE	2
SLC26A9	TRUE	TRUE	FALSE	FALSE	2
ZMYND10	TRUE	TRUE	FALSE	FALSE	2
AKR1E2	TRUE	TRUE	FALSE	FALSE	2
GREB1	TRUE	TRUE	FALSE	FALSE	2
BPIL1	TRUE	TRUE	FALSE	FALSE	2
SMOC1	TRUE	TRUE	FALSE	FALSE	2
TLX1	TRUE	TRUE	FALSE	FALSE	2
ACOX2	TRUE	TRUE	FALSE	FALSE	2
CAPN13	TRUE	TRUE	FALSE	FALSE	2
SERPINA5	TRUE	TRUE	FALSE	FALSE	2
SBSN	TRUE	TRUE	FALSE	FALSE	2
PADI2	TRUE	TRUE	FALSE	FALSE	2
DNAJC12	TRUE	TRUE	FALSE	FALSE	2
SLPI	TRUE	TRUE	FALSE	FALSE	2
SEZ6L	TRUE	TRUE	FALSE	FALSE	2
MTHFD1L	TRUE	TRUE	FALSE	FALSE	2
CLEC3A	TRUE	TRUE	FALSE	FALSE	2
RET	TRUE	TRUE	FALSE	FALSE	2
AQP5	TRUE	TRUE	FALSE	FALSE	2
TTYH1	TRUE	TRUE	FALSE	FALSE	2
CCDC74B	TRUE	TRUE	FALSE	FALSE	2
RHCG	TRUE	TRUE	FALSE	FALSE	2
SERPINA6	TRUE	TRUE	FALSE	FALSE	2
ACE2	TRUE	TRUE	FALSE	FALSE	2
KLK5	TRUE	TRUE	FALSE	FALSE	2
PP14571	TRUE	TRUE	FALSE	FALSE	2
ZNF462	TRUE	TRUE	FALSE	FALSE	2
LRRC48	TRUE	TRUE	FALSE	FALSE	2
CHI3L2	TRUE	TRUE	FALSE	FALSE	2
LONRF2	TRUE	TRUE	FALSE	FALSE	2
C19orf21	TRUE	TRUE	FALSE	FALSE	2
MMP1	TRUE	TRUE	FALSE	FALSE	2
KCNS1	TRUE	TRUE	FALSE	FALSE	2
C6orf218	TRUE	TRUE	FALSE	FALSE	2
SERPINB5	TRUE	TRUE	FALSE	FALSE	2
CYP21A2	TRUE	TRUE	FALSE	FALSE	2
CDH3	TRUE	TRUE	FALSE	FALSE	2
TUBA3E	TRUE	TRUE	FALSE	FALSE	2
KCNJ11	TRUE	TRUE	FALSE	FALSE	2
SOX8	TRUE	TRUE	FALSE	FALSE	2
RASAL1	TRUE	TRUE	FALSE	FALSE	2
AGTR1	TRUE	TRUE	FALSE	FALSE	2
RGS11	TRUE	TRUE	FALSE	FALSE	2
CHRM3	TRUE	TRUE	FALSE	FALSE	2
OGN	TRUE	TRUE	FALSE	FALSE	2
CLCN4	TRUE	TRUE	FALSE	FALSE	2
CPA3	TRUE	TRUE	FALSE	FALSE	2
NOVA1	TRUE	TRUE	FALSE	FALSE	2
ATP1A2	TRUE	TRUE	FALSE	FALSE	2
FBN3	TRUE	TRUE	FALSE	FALSE	2
KRT6C	TRUE	TRUE	FALSE	FALSE	2
LPPR3	TRUE	TRUE	FALSE	FALSE	2
OPRK1	TRUE	TRUE	FALSE	FALSE	2
MLXIPL	TRUE	TRUE	FALSE	FALSE	2
STAC2	TRUE	TRUE	FALSE	FALSE	2
FAM19A3	TRUE	TRUE	FALSE	FALSE	2
C1orf106	TRUE	TRUE	FALSE	FALSE	2
PCSK4	TRUE	TRUE	FALSE	FALSE	2
CCKBR	TRUE	TRUE	FALSE	FALSE	2
UBXN10	TRUE	TRUE	FALSE	FALSE	2
KIAA1370	TRUE	TRUE	FALSE	FALSE	2
MFI2	TRUE	TRUE	FALSE	FALSE	2
NCAM2	TRUE	TRUE	FALSE	FALSE	2
ZIC4	TRUE	TRUE	FALSE	FALSE	2
LRRC31	TRUE	TRUE	FALSE	FALSE	2
IL20	TRUE	TRUE	FALSE	FALSE	2
RARRES1	TRUE	TRUE	FALSE	FALSE	2
NOSTRIN	TRUE	TRUE	FALSE	FALSE	2
CPLX1	TRUE	TRUE	FALSE	FALSE	2
SEMA3B	TRUE	TRUE	FALSE	FALSE	2
SMC1B	TRUE	TRUE	FALSE	FALSE	2
FAM83B	TRUE	TRUE	FALSE	FALSE	2
IGDCC3	TRUE	TRUE	FALSE	FALSE	2
MARCO	TRUE	TRUE	FALSE	FALSE	2
ELOVL2	TRUE	TRUE	FALSE	FALSE	2
CAPN6	TRUE	TRUE	FALSE	FALSE	2
C9orf152	TRUE	TRUE	FALSE	FALSE	2
KLK7	TRUE	TRUE	FALSE	FALSE	2
OLAH	TRUE	TRUE	FALSE	FALSE	2
KCNG1	TRUE	TRUE	FALSE	FALSE	2
NXNL2	TRUE	TRUE	FALSE	FALSE	2
DYNLRB2	TRUE	TRUE	FALSE	FALSE	2
SPEF1	TRUE	TRUE	FALSE	FALSE	2
CEACAM6	TRUE	TRUE	FALSE	FALSE	2
ADCY5	TRUE	TRUE	FALSE	FALSE	2
CHST4	TRUE	TRUE	FALSE	FALSE	2
BBOX1	TRUE	TRUE	FALSE	FALSE	2
KCNN4	TRUE	TRUE	FALSE	FALSE	2
LRG1	TRUE	TRUE	FALSE	FALSE	2
ANKRD43	TRUE	TRUE	FALSE	FALSE	2
SHC4	TRUE	TRUE	FALSE	FALSE	2
C20orf26	TRUE	TRUE	FALSE	FALSE	2
ESYT3	TRUE	TRUE	FALSE	FALSE	2
PCP2	TRUE	TRUE	FALSE	FALSE	2
HEPACAM2	TRUE	TRUE	FALSE	FALSE	2
KLK10	TRUE	TRUE	FALSE	FALSE	2
TMEM45B	TRUE	TRUE	FALSE	FALSE	2
CENPW	TRUE	TRUE	FALSE	FALSE	2
SIX3	TRUE	TRUE	FALSE	FALSE	2
LOC389033	TRUE	TRUE	FALSE	FALSE	2
SDR16C5	TRUE	TRUE	FALSE	FALSE	2
CACNA1H	TRUE	TRUE	FALSE	FALSE	2
CYP4F22	TRUE	TRUE	FALSE	FALSE	2
ONECUT2	TRUE	TRUE	FALSE	FALSE	2
HPDL	TRUE	TRUE	FALSE	FALSE	2
CPA4	TRUE	TRUE	FALSE	FALSE	2
BMPR1B	TRUE	TRUE	FALSE	FALSE	2
CENPE	TRUE	TRUE	FALSE	FALSE	2
LCN2	TRUE	TRUE	FALSE	FALSE	2
ABAT	TRUE	TRUE	FALSE	FALSE	2
C15orf59	TRUE	TRUE	FALSE	FALSE	2
PLIN5	TRUE	TRUE	FALSE	FALSE	2
CXCL5	TRUE	TRUE	FALSE	FALSE	2
FERMT1	TRUE	TRUE	FALSE	FALSE	2
UGT2B15	TRUE	TRUE	FALSE	FALSE	2
ZNF552	TRUE	TRUE	FALSE	FALSE	2
GAL	TRUE	TRUE	FALSE	FALSE	2
CACNG4	TRUE	TRUE	FALSE	FALSE	2
TOX3	TRUE	TRUE	FALSE	FALSE	2
KIAA1984	TRUE	TRUE	FALSE	FALSE	2
COL9A3	TRUE	TRUE	FALSE	FALSE	2
TUBA3D	TRUE	TRUE	FALSE	FALSE	2
CYP2A6	TRUE	TRUE	FALSE	FALSE	2
TMSB15B	TRUE	TRUE	FALSE	FALSE	2
STK32B	TRUE	TRUE	FALSE	FALSE	2
SLC26A3	TRUE	TRUE	FALSE	FALSE	2
LAMP3	TRUE	TRUE	FALSE	FALSE	2
MEX3A	TRUE	TRUE	FALSE	FALSE	2
CDH19	TRUE	TRUE	FALSE	FALSE	2
ACTL8	TRUE	TRUE	FALSE	FALSE	2
NMU	TRUE	TRUE	FALSE	FALSE	2
KCNH1	TRUE	TRUE	FALSE	FALSE	2
LRRC26	TRUE	TRUE	FALSE	FALSE	2
THPO	TRUE	TRUE	FALSE	FALSE	2
CHST8	TRUE	TRUE	FALSE	FALSE	2
REEP1	TRUE	TRUE	FALSE	FALSE	2
SLC39A12	TRUE	TRUE	FALSE	FALSE	2
SLC4A8	TRUE	TRUE	FALSE	FALSE	2
RNF182	TRUE	TRUE	FALSE	FALSE	2
INPP4B	TRUE	TRUE	FALSE	FALSE	2
KIF12	TRUE	TRUE	FALSE	FALSE	2
LMO4	TRUE	TRUE	FALSE	FALSE	2
KIF14	TRUE	TRUE	FALSE	FALSE	2
NCCRP1	TRUE	TRUE	FALSE	FALSE	2
TMEM63C	TRUE	TRUE	FALSE	FALSE	2
LOC284233	TRUE	TRUE	FALSE	FALSE	2
DNAH5	TRUE	TRUE	FALSE	FALSE	2
DNAH7	TRUE	TRUE	FALSE	FALSE	2
KRT83	TRUE	TRUE	FALSE	FALSE	2
MKRN3	TRUE	TRUE	FALSE	FALSE	2
CHI3L1	TRUE	TRUE	FALSE	FALSE	2
FBP1	TRUE	TRUE	FALSE	FALSE	2
RTN4RL1	TRUE	TRUE	FALSE	FALSE	2
PRR11	TRUE	TRUE	FALSE	FALSE	2
MUC5B	TRUE	TRUE	FALSE	FALSE	2
CFD	TRUE	TRUE	FALSE	FALSE	2
CA6	TRUE	TRUE	FALSE	FALSE	2
BAIAP3	TRUE	TRUE	FALSE	FALSE	2
OCA2	TRUE	TRUE	FALSE	FALSE	2
DLX6	TRUE	TRUE	FALSE	FALSE	2
LIN7A	TRUE	TRUE	FALSE	FALSE	2
GPR81	TRUE	TRUE	FALSE	FALSE	2
TRPM8	TRUE	TRUE	FALSE	FALSE	2
GDF5	TRUE	TRUE	FALSE	FALSE	2
NCAPG	TRUE	TRUE	FALSE	FALSE	2
S100B	TRUE	TRUE	FALSE	FALSE	2
ABLIM3	TRUE	TRUE	FALSE	FALSE	2
KRT81	TRUE	TRUE	FALSE	FALSE	2
DUSP9	TRUE	TRUE	FALSE	FALSE	2
IGF2BP3	TRUE	TRUE	FALSE	FALSE	2
CXADR	TRUE	TRUE	FALSE	FALSE	2
GSDMC	TRUE	TRUE	FALSE	FALSE	2
LRRC50	TRUE	TRUE	FALSE	FALSE	2
SORCS1	TRUE	TRUE	FALSE	FALSE	2
SYT1	TRUE	TRUE	FALSE	FALSE	2
SLC6A15	TRUE	TRUE	FALSE	FALSE	2
C1QL4	TRUE	TRUE	FALSE	FALSE	2
CYP4F8	TRUE	TRUE	FALSE	FALSE	2
KLK8	TRUE	TRUE	FALSE	FALSE	2
SUSD3	TRUE	TRUE	FALSE	FALSE	2
ULBP1	TRUE	TRUE	FALSE	FALSE	2
PVALB	TRUE	TRUE	FALSE	FALSE	2
RAET1L	TRUE	TRUE	FALSE	FALSE	2
SHROOM1	TRUE	TRUE	FALSE	FALSE	2
TMEM40	TRUE	TRUE	FALSE	FALSE	2
LOC728606	TRUE	TRUE	FALSE	FALSE	2
VSTM2A	TRUE	TRUE	FALSE	FALSE	2
TFAP2B	TRUE	TRUE	FALSE	FALSE	2
UGT2B11	TRUE	TRUE	FALSE	FALSE	2
NKAIN1	TRUE	TRUE	FALSE	FALSE	2
FGFBP1	TRUE	TRUE	FALSE	FALSE	2
CCDC74A	TRUE	TRUE	FALSE	FALSE	2
C19orf51	TRUE	TRUE	FALSE	FALSE	2
NFE2L3	TRUE	TRUE	FALSE	FALSE	2
STC2	TRUE	TRUE	FALSE	FALSE	2
AZU1	TRUE	TRUE	FALSE	FALSE	2
KIF20A	TRUE	TRUE	FALSE	FALSE	2
B3GNT3	TRUE	TRUE	FALSE	FALSE	2
TAT	TRUE	TRUE	FALSE	FALSE	2
ACADSB	TRUE	TRUE	FALSE	FALSE	2
C4A	TRUE	TRUE	FALSE	FALSE	2
RERG	TRUE	TRUE	FALSE	FALSE	2
ZNF695	TRUE	TRUE	FALSE	FALSE	2
DIO1	TRUE	TRUE	FALSE	FALSE	2
C1QL2	TRUE	TRUE	FALSE	FALSE	2
C17orf28	TRUE	TRUE	FALSE	FALSE	2
NEURL	TRUE	TRUE	FALSE	FALSE	2
CYP4X1	TRUE	TRUE	FALSE	FALSE	2
SRRM3	TRUE	TRUE	FALSE	FALSE	2
FUT3	TRUE	TRUE	FALSE	FALSE	2
C6orf15	TRUE	TRUE	FALSE	FALSE	2
MUC15	TRUE	TRUE	FALSE	FALSE	2
LMX1B	TRUE	TRUE	FALSE	FALSE	2
?|90288	TRUE	TRUE	FALSE	FALSE	2
LOC100130148	TRUE	TRUE	FALSE	FALSE	2
SLC6A2	TRUE	TRUE	FALSE	FALSE	2
PLIN1	TRUE	TRUE	FALSE	FALSE	2
SOSTDC1	TRUE	TRUE	FALSE	FALSE	2
MSX2	TRUE	TRUE	FALSE	FALSE	2
C1orf168	TRUE	TRUE	FALSE	FALSE	2
HRASLS	TRUE	TRUE	FALSE	FALSE	2
PCDHB9	TRUE	TRUE	FALSE	FALSE	2
METRN	TRUE	TRUE	FALSE	FALSE	2
NDC80	TRUE	TRUE	FALSE	FALSE	2
GPRIN2	TRUE	TRUE	FALSE	FALSE	2
GPR12	TRUE	TRUE	FALSE	FALSE	2
DSC3	TRUE	TRUE	FALSE	FALSE	2
FAM72A	TRUE	TRUE	FALSE	FALSE	2
CENPF	TRUE	TRUE	FALSE	FALSE	2
CAPN9	TRUE	TRUE	FALSE	FALSE	2
VSNL1	TRUE	TRUE	FALSE	FALSE	2
C11orf86	TRUE	TRUE	FALSE	FALSE	2
SYT17	TRUE	TRUE	FALSE	FALSE	2
TRIM29	TRUE	TRUE	FALSE	FALSE	2
ROBO2	TRUE	TRUE	FALSE	FALSE	2
MAP2	TRUE	TRUE	FALSE	FALSE	2
KCNC2	TRUE	TRUE	FALSE	FALSE	2
GSTM3	TRUE	TRUE	FALSE	FALSE	2
C8orf46	TRUE	TRUE	FALSE	FALSE	2
CYP39A1	TRUE	TRUE	FALSE	FALSE	2
ARL9	TRUE	TRUE	FALSE	FALSE	2
GRM4	TRUE	TRUE	FALSE	FALSE	2
FOXM1	TRUE	TRUE	FALSE	FALSE	2
CP	TRUE	TRUE	FALSE	FALSE	2
LDHD	TRUE	TRUE	FALSE	FALSE	2
S100A7	TRUE	TRUE	FALSE	FALSE	2
GPR160	TRUE	TRUE	FALSE	FALSE	2
MYRIP	TRUE	TRUE	FALSE	FALSE	2
C1orf130	TRUE	TRUE	FALSE	FALSE	2
UPF0639	TRUE	TRUE	FALSE	FALSE	2
GALNT13	TRUE	TRUE	FALSE	FALSE	2
CACNG1	TRUE	TRUE	FALSE	FALSE	2
ATP10B	TRUE	TRUE	FALSE	FALSE	2
C8orf47	TRUE	TRUE	FALSE	FALSE	2
